期号,日期,中奖号码 1,2,3,4,5,强力球,上期出现号码,小,大,单数,双数,1-10,11-20,21-30,31-40,41-50,51-60,61-70,一奖 中奖注数,一奖 每注奖金,二奖 中奖注数,二奖 每注奖金,三奖 中奖注数,三奖 每注奖金,四奖 中奖注数,四奖 每注奖金,五奖 中奖注数,五奖 每注奖金,六奖 中奖注数,六奖 每注奖金,七奖 中奖注数,七奖 每注奖金,八奖 中奖注数,八奖 每注奖金,九奖 中奖注数,九奖 每注奖金
05/04/2024,2024-05-04,14,20,23,53,69,4,,3,2,3,2,0,2,1,0,0,1,1,0,0.00,0,0.00,2,50000.00,59,100.00,190,100.00,4041,7.00,3585,7.00,27394,4.00,64722,4.00
05/01/2024,2024-05-01,1,11,19,21,68,15,11,4,1,4,1,1,2,1,0,0,0,1,0,0.00,0,0.00,4,50000.00,102,100.00,191,100.00,5614,7.00,3348,7.00,24349,4.00,55503,4.00
04/29/2024,2024-04-29,11,38,47,67,69,14,,1,4,4,1,0,1,0,1,1,0,2,0,0.00,0,0.00,1,50000.00,30,100.00,80,100.00,2204,7.00,1822,7.00,14551,4.00,36442,4.00
04/27/2024,2024-04-27,9,30,53,55,62,23,,2,3,3,2,1,0,1,0,0,2,1,0,0.00,0,0.00,2,50000.00,49,100.00,121,100.00,3085,7.00,2529,7.00,20584,4.00,50357,4.00
04/24/2024,2024-04-24,2,20,22,26,47,21,,4,1,1,4,1,1,2,0,1,0,0,0,0.00,0,0.00,4,50000.00,133,100.00,282,100.00,7794,7.00,5310,7.00,40707,4.00,96223,4.00
04/22/2024,2024-04-22,12,16,33,39,52,1,,3,2,2,3,0,2,0,2,0,1,0,0,0.00,1,1000000.00,7,50000.00,186,100.00,421,100.00,11654,7.00,8881,7.00,67871,4.00,159703,4.00
04/20/2024,2024-04-20,4,35,41,44,58,25,44,1,4,2,3,1,0,0,1,2,1,0,0,0.00,2,1000000.00,8,50000.00,251,100.00,584,100.00,16366,7.00,13456,7.00,106241,4.00,260146,4.00
04/17/2024,2024-04-17,24,29,44,47,54,2,,2,3,2,3,0,0,2,0,2,1,0,0,0.00,1,1000000.00,3,50000.00,158,100.00,447,100.00,11680,7.00,9066,7.00,72429,4.00,175516,4.00
04/15/2024,2024-04-15,7,16,41,56,61,23,7,2,3,3,2,1,1,0,0,1,1,1,0,0.00,0,0.00,7,50000.00,160,100.00,396,100.00,9313,7.00,8385,7.00,67649,4.00,156748,4.00
04/13/2024,2024-04-13,7,33,40,43,69,10,7,2,3,4,1,1,0,0,2,1,0,1,0,0.00,0,0.00,7,50000.00,233,100.00,693,100.00,17129,7.00,14162,7.00,112994,4.00,269459,4.00
04/10/2024,2024-04-10,6,7,12,24,36,15,6,4,1,1,4,2,1,1,1,0,0,0,0,0.00,1,1000000.00,21,50000.00,507,100.00,811,100.00,20876,7.00,11887,7.00,77358,4.00,170007,4.00
04/08/2024,2024-04-08,6,21,23,39,54,23,,3,2,3,2,1,0,2,1,0,1,0,0,0.00,0,0.00,10,50000.00,216,100.00,516,100.00,14032,7.00,11555,7.00,84073,4.00,192450,4.00
04/06/2024,2024-04-06,22,27,44,52,69,9,,2,3,2,3,0,0,2,0,1,1,1,1,1325900000.00,7,1000000.00,81,50000.00,2345,100.00,6067,100.00,150765,7.00,126620,7.00,963524,4.00,2375490,4.00
04/03/2024,2024-04-03,11,38,41,62,65,15,,1,4,3,2,0,1,0,1,1,0,2,0,0.00,9,1000000.00,64,50000.00,1572,100.00,3827,100.00,97248,7.00,80559,7.00,629771,4.00,1541617,4.00
04/01/2024,2024-04-01,19,24,40,42,56,23,,2,3,1,4,0,1,1,1,1,1,0,0,0.00,6,1000000.00,53,50000.00,1241,100.00,2793,100.00,74027,7.00,59238,7.00,458670,4.00,1104001,4.00
03/30/2024,2024-03-30,12,13,33,50,52,23,,3,2,2,3,0,2,0,1,1,1,0,0,0.00,4,1000000.00,55,50000.00,1254,100.00,3061,100.00,80817,7.00,65934,7.00,506268,4.00,1209338,4.00
03/27/2024,2024-03-27,37,46,57,60,66,8,,0,5,2,3,0,0,0,1,1,2,1,0,0.00,3,1000000.00,44,50000.00,863,100.00,2110,100.00,53002,7.00,44981,7.00,351656,4.00,928168,4.00
03/25/2024,2024-03-25,7,11,19,53,68,23,,3,2,4,1,1,2,0,0,0,1,1,0,0.00,2,1000000.00,41,50000.00,982,100.00,2409,100.00,61450,7.00,47430,7.00,338604,4.00,781628,4.00
03/23/2024,2024-03-23,6,23,25,34,51,3,,4,1,3,2,1,0,2,1,0,1,0,0,0.00,5,1000000.00,38,50000.00,1097,100.00,2672,100.00,64936,7.00,55669,7.00,422396,4.00,984934,4.00
03/20/2024,2024-03-20,13,22,27,54,66,9,,3,2,2,3,0,1,2,0,0,1,1,0,0.00,0,0.00,27,50000.00,646,100.00,1672,100.00,40151,7.00,35152,7.00,265338,4.00,626078,4.00
03/18/2024,2024-03-18,10,17,20,39,44,16,44,3,2,2,3,1,2,0,1,1,0,0,0,0.00,5,1000000.00,17,50000.00,510,100.00,1167,100.00,33386,7.00,24725,7.00,185579,4.00,437758,4.00
03/16/2024,2024-03-16,12,23,44,57,61,5,,2,3,3,2,0,1,1,0,1,1,1,0,0.00,3,1000000.00,35,50000.00,661,100.00,1696,100.00,41549,7.00,36119,7.00,281728,4.00,673084,4.00
03/13/2024,2024-03-13,21,29,54,59,62,4,,2,3,3,2,0,0,2,0,0,2,1,0,0.00,2,1000000.00,14,50000.00,399,100.00,1050,100.00,25215,7.00,21729,7.00,176513,4.00,436582,4.00
03/11/2024,2024-03-11,1,3,7,16,66,5,,4,1,3,2,3,1,0,0,0,0,1,0,0.00,1,1000000.00,20,50000.00,512,100.00,1313,100.00,30495,7.00,22243,7.00,150118,4.00,336348,4.00
03/09/2024,2024-03-09,30,36,49,52,63,16,,1,4,2,3,0,0,1,1,1,1,1,0,0.00,2,1000000.00,20,50000.00,452,100.00,1320,100.00,30682,7.00,25450,7.00,197125,4.00,489603,4.00
03/06/2024,2024-03-06,6,19,28,44,60,10,,3,2,1,4,1,1,1,0,1,1,0,0,0.00,0,0.00,10,50000.00,329,100.00,922,100.00,22445,7.00,19672,7.00,143961,4.00,331068,4.00
03/04/2024,2024-03-04,36,42,50,52,67,26,36,0,5,1,4,0,0,0,1,2,1,1,0,0.00,0,0.00,8,50000.00,264,100.00,674,100.00,16955,7.00,13749,7.00,107524,4.00,283096,4.00
03/02/2024,2024-03-02,3,18,27,36,53,12,,3,2,3,2,1,1,1,1,0,1,0,0,0.00,4,1000000.00,25,50000.00,622,100.00,1395,100.00,34026,7.00,26952,7.00,193020,4.00,447658,4.00
02/28/2024,2024-02-28,16,26,29,38,50,6,29,3,2,1,4,0,1,2,1,1,0,0,0,0.00,0,0.00,10,50000.00,284,100.00,778,100.00,18697,7.00,15880,7.00,119451,4.00,284875,4.00
02/26/2024,2024-02-26,24,29,42,51,54,16,,2,3,2,3,0,0,2,0,1,2,0,0,0.00,0,0.00,8,50000.00,217,100.00,544,100.00,14825,7.00,12051,7.00,92180,4.00,222536,4.00
02/24/2024,2024-02-24,3,8,40,53,58,3,,2,3,2,3,2,0,0,1,0,2,0,0,0.00,0,0.00,20,50000.00,347,100.00,975,100.00,23921,7.00,21526,7.00,164216,4.00,381958,4.00
02/21/2024,2024-02-21,4,27,33,41,42,14,4,3,2,3,2,1,0,1,1,2,0,0,0,0.00,1,1000000.00,11,50000.00,262,100.00,693,100.00,16926,7.00,13898,7.00,105605,4.00,244958,4.00
02/19/2024,2024-02-19,4,23,45,50,53,17,,2,3,3,2,1,0,1,0,2,1,0,0,0.00,0,0.00,8,50000.00,202,100.00,466,100.00,13208,7.00,11461,7.00,88537,4.00,212310,4.00
02/17/2024,2024-02-17,6,28,59,62,69,21,,2,3,2,3,1,0,1,0,0,1,2,0,0.00,1,1000000.00,9,50000.00,295,100.00,874,100.00,20320,7.00,17365,7.00,138044,4.00,340829,4.00
02/14/2024,2024-02-14,1,4,45,47,67,18,67,2,3,4,1,2,0,0,0,2,0,1,0,0.00,2,1000000.00,7,50000.00,191,100.00,538,100.00,13864,7.00,12162,7.00,93333,4.00,226719,4.00
02/12/2024,2024-02-12,17,36,43,53,67,14,,1,4,4,1,0,1,0,1,1,1,1,0,0.00,0,0.00,11,50000.00,190,100.00,468,100.00,11477,7.00,9881,7.00,76530,4.00,192180,4.00
02/10/2024,2024-02-10,27,28,34,37,44,8,,3,2,2,3,0,0,2,2,1,0,0,0,0.00,2,1000000.00,19,50000.00,327,100.00,865,100.00,21199,7.00,18479,7.00,143202,4.00,340026,4.00
02/07/2024,2024-02-07,12,21,62,67,69,17,67,2,3,3,2,0,1,1,0,0,0,3,0,0.00,1,1000000.00,5,50000.00,184,100.00,496,100.00,12804,7.00,11329,7.00,89829,4.00,218333,4.00
02/05/2024,2024-02-05,1,2,27,30,67,9,27,4,1,3,2,2,0,2,0,0,0,1,0,0.00,0,0.00,5,50000.00,181,100.00,600,100.00,13363,7.00,11458,7.00,82373,4.00,186172,4.00
02/03/2024,2024-02-03,9,11,27,59,66,19,,3,2,4,1,1,1,1,0,0,1,1,0,0.00,1,1000000.00,12,50000.00,328,100.00,838,100.00,22518,7.00,17840,7.00,130999,4.00,300075,4.00
01/31/2024,2024-01-31,15,18,19,41,43,14,"41,43",3,2,4,1,0,3,0,0,2,0,0,0,0.00,1,1000000.00,6,50000.00,205,100.00,498,100.00,13281,7.00,10724,7.00,82492,4.00,193438,4.00
01/29/2024,2024-01-29,39,41,43,49,64,4,,0,5,4,1,0,0,0,1,3,0,1,0,0.00,3,1000000.00,6,50000.00,153,100.00,392,100.00,9537,7.00,8363,7.00,67205,4.00,187295,4.00
01/27/2024,2024-01-27,7,38,65,66,68,21,,1,4,2,3,1,0,0,1,0,0,3,0,0.00,2,1000000.00,13,50000.00,247,100.00,600,100.00,16399,7.00,13918,7.00,111864,4.00,277782,4.00
01/24/2024,2024-01-24,1,5,32,50,64,8,,3,2,2,3,2,0,0,1,1,0,1,0,0.00,1,1000000.00,10,50000.00,147,100.00,456,100.00,11575,7.00,10598,7.00,80425,4.00,192661,4.00
01/22/2024,2024-01-22,24,25,43,52,63,21,,2,3,3,2,0,0,2,0,1,1,1,0,0.00,0,0.00,6,50000.00,138,100.00,403,100.00,9750,7.00,8126,7.00,64910,4.00,163066,4.00
01/20/2024,2024-01-20,16,31,34,47,65,10,65,3,2,3,2,0,1,0,2,1,0,1,0,0.00,1,1000000.00,8,50000.00,260,100.00,635,100.00,16239,7.00,13987,7.00,108730,4.00,271469,4.00
01/17/2024,2024-01-17,18,22,43,61,65,2,,2,3,3,2,0,1,1,0,1,0,2,0,0.00,0,0.00,5,50000.00,160,100.00,385,100.00,9812,7.00,8332,7.00,67703,4.00,168133,4.00
01/15/2024,2024-01-15,13,30,35,49,59,4,13,2,3,4,1,0,1,1,1,1,1,0,0,0.00,1,1000000.00,7,50000.00,119,100.00,315,100.00,8488,7.00,7458,7.00,60789,4.00,154866,4.00
01/13/2024,2024-01-13,13,31,33,51,58,15,,3,2,4,1,0,1,0,2,0,2,0,0,0.00,0,0.00,8,50000.00,236,100.00,532,100.00,15296,7.00,12594,7.00,98665,4.00,239884,4.00
01/10/2024,2024-01-10,25,40,43,48,50,11,40,1,4,2,3,0,0,1,1,3,0,0,0,0.00,1,1000000.00,5,50000.00,140,100.00,448,100.00,9600,7.00,8475,7.00,68066,4.00,183511,4.00
01/08/2024,2024-01-08,7,17,28,40,45,2,,3,2,3,2,1,1,1,1,1,0,0,0,0.00,0,0.00,8,50000.00,175,100.00,397,100.00,11182,7.00,8536,7.00,61059,4.00,136098,4.00
01/06/2024,2024-01-06,4,31,34,38,61,13,"31,38",3,2,2,3,1,0,0,3,0,0,1,0,0.00,2,1000000.00,8,50000.00,212,100.00,652,100.00,14385,7.00,13195,7.00,106641,4.00,260686,4.00
01/03/2024,2024-01-03,30,31,38,48,68,8,,2,3,1,4,0,0,1,2,1,0,1,0,0.00,0,0.00,7,50000.00,166,100.00,477,100.00,10630,7.00,9892,7.00,80190,4.00,204428,4.00
01/01/2024,2024-01-01,12,21,42,44,49,1,,2,3,2,3,0,1,1,0,3,0,0,1,842400000.00,4,1000000.00,42,50000.00,1029,100.00,2428,100.00,65087,7.00,50849,7.00,396027,4.00,942906,4.00
12/30/2023,2023-12-30,10,11,26,27,34,7,11,5,0,2,3,1,1,2,1,0,0,0,0,0.00,5,1000000.00,67,50000.00,1553,100.00,4502,100.00,96587,7.00,88170,7.00,619071,4.00,1371786,4.00
12/27/2023,2023-12-27,4,11,38,51,68,5,,2,3,2,3,1,1,0,1,0,1,1,0,0.00,1,1000000.00,34,50000.00,848,100.00,2120,100.00,51440,7.00,45204,7.00,351770,4.00,841526,4.00
12/25/2023,2023-12-25,5,12,20,24,29,4,,5,0,2,3,1,2,2,0,0,0,0,0,0.00,3,1000000.00,45,50000.00,956,100.00,1929,100.00,46457,7.00,33374,7.00,228892,4.00,514126,4.00
12/23/2023,2023-12-23,9,14,17,18,53,6,,4,1,3,2,1,3,0,0,0,1,0,0,0.00,2,1000000.00,32,50000.00,963,100.00,2362,100.00,59215,7.00,47372,7.00,345212,4.00,796472,4.00
12/20/2023,2023-12-20,27,35,41,56,60,16,,1,4,3,2,0,0,1,1,1,2,0,0,0.00,2,1000000.00,17,50000.00,456,100.00,1087,100.00,29139,7.00,23107,7.00,184947,4.00,453779,4.00
12/18/2023,2023-12-18,5,8,19,34,39,26,,4,1,3,2,2,1,0,2,0,0,0,0,0.00,2,1000000.00,10,50000.00,410,100.00,983,100.00,27816,7.00,21008,7.00,150199,4.00,343128,4.00
12/16/2023,2023-12-16,3,9,10,20,62,25,3,4,1,2,3,3,1,0,0,0,0,1,0,0.00,2,1000000.00,35,50000.00,762,100.00,1756,100.00,44225,7.00,32420,7.00,225536,4.00,514168,4.00
12/13/2023,2023-12-13,3,8,41,56,64,18,,2,3,2,3,2,0,0,0,1,1,1,0,0.00,2,1000000.00,15,50000.00,372,100.00,939,100.00,23652,7.00,20437,7.00,158577,4.00,378923,4.00
12/11/2023,2023-12-11,1,24,27,31,62,20,,4,1,3,2,1,0,2,1,0,0,1,0,0.00,0,0.00,10,50000.00,295,100.00,681,100.00,19602,7.00,14712,7.00,111881,4.00,265966,4.00
12/09/2023,2023-12-09,5,25,26,40,60,1,,3,2,2,3,1,0,2,1,0,1,0,0,0.00,1,1000000.00,15,50000.00,429,100.00,1120,100.00,28285,7.00,22439,7.00,170433,4.00,402397,4.00
12/06/2023,2023-12-06,2,12,37,56,65,21,,2,3,2,3,1,1,0,1,0,1,1,0,0.00,1,1000000.00,6,50000.00,287,100.00,703,100.00,18182,7.00,15636,7.00,120294,4.00,284331,4.00
12/04/2023,2023-12-04,18,19,27,28,45,9,28,4,1,3,2,0,2,2,0,1,0,0,0,0.00,1,1000000.00,18,50000.00,280,100.00,1114,100.00,19174,7.00,16058,7.00,113828,4.00,251471,4.00
12/02/2023,2023-12-02,28,35,41,47,60,3,47,1,4,3,2,0,0,1,1,2,1,0,0,0.00,0,0.00,10,50000.00,352,100.00,954,100.00,24329,7.00,20536,7.00,164065,4.00,420424,4.00
